epi#,epi_reward,epi_steps
0,28.6100183404,16
1,28.0942028804,21
2,28.1871484272,23
3,27.9940635261,20
4,28.1471404061,20
5,28.1454261129,22
6,28.0465849779,21
7,27.8870807566,24
8,28.0776891896,23
9,28.1133228103,22
10,28.0506869547,20
11,22.5799956924,72
12,28.2671439755,22
13,26.1306715645,27
14,28.1966083362,21
15,28.059455464,23
16,27.2855635573,27
17,27.5566127529,27
18,27.6446435369,19
19,27.827970493,20
20,27.9555479986,26
21,27.8564816509,26
22,28.1582803987,23
23,28.2108264767,22
24,27.6550815242,26
25,28.043603223,20
26,28.2317374212,22
27,28.2000179632,21
28,26.778504855,20
29,23.0461237852,47
30,26.6550060153,24
31,25.7576284207,25
32,25.7443718752,24
33,26.5965675115,28
34,27.3328260923,26
35,28.1488380486,20
36,27.6378152662,19
37,27.9757004805,22
38,27.8821238899,22
39,28.1332314982,19
40,28.1547660412,23
41,27.8930022607,25
42,28.0995573798,22
43,27.9616855746,20
44,27.5960470199,22
45,28.3007677446,21
46,27.9974321053,24
47,27.8736670604,23
48,28.0479319407,21
49,28.1457153352,23
50,28.0245538509,23
51,28.0815097951,19
52,28.0117903885,24
53,28.1529104764,21
54,27.8372728076,19
55,27.9465205012,21
56,28.2547108019,20
57,28.1398965792,21
58,27.9323435092,23
59,28.0798658687,20
60,28.2417504663,20
61,28.25079934,22
62,28.1330887028,21
63,28.010149264,21
64,27.8207631413,27
65,28.2046770597,19
66,28.0805091133,25
67,28.2580344813,21
68,28.0709693837,20
69,27.8441542821,23
70,28.1693558558,23
71,28.0873291891,25
72,28.1532802527,20
73,27.8675889929,27
74,27.9487642487,24
75,27.4638127573,20
76,28.0883225915,20
77,28.2374555547,20
78,28.2082191247,20
79,27.9235190331,24
80,28.0810544321,19
81,28.1537913919,22
82,28.0706568202,21
83,27.881061036,23
84,27.9185192932,24
85,27.7282676152,22
86,28.1211090433,21
87,27.9284960946,22
88,28.0940003851,21
89,27.8048908082,21
90,27.9213531408,24
91,27.8679151361,21
92,27.9082678813,20
93,28.1734909514,22
94,27.9864331518,19
95,28.0175248188,22
96,28.2751194137,21
97,28.0161999179,23
98,28.0881297799,24
99,28.1040857871,20
100,28.356692631,20
101,27.8119593361,20
102,28.1907495348,20
103,27.94765979,19
104,27.8931482143,20
105,27.9764786476,18
106,28.227370851,21
107,28.2429712046,22
108,27.9459448103,22
109,28.1544108901,18
110,28.2058477923,20
111,28.3419519491,20
112,28.2220275933,20
113,28.0981727569,22
114,28.2892793199,20
115,28.4139327611,18
116,28.4124757808,20
117,28.3689807902,19
118,28.2054805544,21
119,27.9505564198,19
120,28.2922457676,18
121,28.375267992,20
122,28.2202028593,22
123,28.2200744745,21
124,28.2696120564,20
125,28.1373354146,19
126,28.2816805101,18
127,28.3801515455,18
128,27.8771180603,24
129,28.1352693258,23
130,28.3824167169,19
131,28.2845109939,19
132,28.2290710446,20
133,28.0836656233,21
134,28.3101027515,21
135,28.3757637755,20
136,28.1916204009,18
137,28.3913177504,19
138,28.1806696339,19
139,28.443500553,19
140,28.1121231426,19
141,28.4265026765,18
142,28.4049843629,21
143,28.3401837766,22
144,28.1201830982,22
145,28.3937987618,19
146,28.538928091,18
147,28.5776251167,17
148,28.3318131626,17
149,28.0502000521,19
150,27.8918939091,19
151,28.3849498518,19
152,28.1360462757,23
153,28.149497134,20
154,28.3087949341,19
155,28.0755220154,17
156,28.1243938672,20
157,28.4427142211,16
158,28.3266040912,18
159,28.0867207541,18
160,28.504929259,18
161,28.3038565086,21
162,28.5802604858,17
163,28.6337924906,17
164,28.0457879536,18
165,28.4013376112,19
166,28.4179291061,19
167,28.2144530312,21
168,28.6094988101,16
169,29.212190182,10
170,28.386946402,16
171,28.4149080437,19
172,28.2150169027,18
173,28.5354856989,18
174,28.5687975204,15
175,28.3253814601,20
176,28.269815832,20
177,28.5820477632,18
178,28.5424992458,14
179,28.5213536994,16
180,28.5963888702,17
181,28.6157241787,15
182,28.5098039622,18
183,28.4147932684,14
184,28.404464025,18
185,28.0800416652,18
186,28.6774806958,16
187,28.600368444,16
188,28.3580905678,20
189,28.5060728384,18
190,28.6078590546,17
191,28.4630604044,17
192,28.1245470247,18
193,28.1402247415,16
194,28.4112808911,14
195,28.183601274,20
196,28.2927972095,19
197,28.3199305622,21
198,28.2680789361,21
199,28.4168280352,21
200,28.2947848451,18
201,28.2882734858,19
202,28.3824513352,20
203,28.2699881028,19
204,28.7334575382,13
205,28.4684521624,17
206,28.5922240252,15
207,28.3352791853,17
208,28.4282515142,18
209,28.7605407372,12
210,28.5786362387,16
211,28.6268345247,14
212,28.4711763096,20
213,28.457152895,20
214,28.386816815,20
215,28.3974994587,19
216,28.3221086002,20
217,28.0710277545,18
218,28.7413665789,14
219,28.2758004304,19
220,28.57352584,16
221,28.5847294024,14
222,28.5362977688,17
223,28.6600515216,13
224,28.6050662911,17
225,28.4060390535,13
226,28.5042358317,16
227,28.5834305837,14
228,28.1212981023,15
229,28.7856286355,15
230,28.4975797512,18
231,28.9822346013,12
232,28.3811096431,18
233,28.8661678918,12
234,28.2331553876,15
235,28.7173858761,15
236,28.6154430731,14
237,28.6813817987,16
238,28.2647246223,20
239,28.5378474092,15
240,28.5639525447,15
241,28.5949511789,18
242,28.7598088665,12
243,28.3986853827,16
244,28.7907209248,14
245,28.4300248632,15
246,28.7555851481,15
247,28.6624052912,17
248,28.8748925613,14
249,28.258803165,17
250,28.9637814979,12
251,28.6635147485,15
