plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1,1.0,1.0,1.0,0.30839058998209956,-0.124351648326,0.0,0.0,0.006634401,0.037957404,0.08322852
2,0.95,0.95,1.0,0.3103572584375194,-0.0991487512335,0.0,0.0,0.0007864264,0.035171892,0.08025656
3,0.95,0.9,1.0,0.3179692623908802,-0.0916396563391,0.0,0.0,0.0006704132,0.033755522,0.07845123
4,0.95,0.9,0.95,0.3057821721594079,-0.0871928423898,0.0,0.0,0.0030553115,0.03254715,0.07663543
5,0.95,0.95,1.0,0.28255407319995973,-0.130736782718,0.0,0.0,0.0036101136,0.033224747,0.07354405
6,1.0,0.9,1.0,0.27845681310048004,-0.109611906848,0.0,0.0,0.0030627744,0.028227773,0.066842884
7,1.0,0.9,0.95,0.34594219067397713,-0.105812324767,0.0,0.0,9.8698954e-05,0.02542891,0.064009234
8,0.95,0.85,1.0,0.33142481253710826,-0.0988690171225,0.0,0.0,0.000318155,0.027560398,0.07138948
9,0.95,0.8,1.0,0.29531294708724837,-0.0939913430701,0.0,0.0,0.0018398147,0.026203832,0.06893833
10,0.9,0.75,1.0,0.22755055389713372,-0.0882521336837,0.0,0.0,5.9697275e-05,0.02428857,0.065266006
11,0.95,0.8,1.0,0.2928283110464719,-0.0848267835819,0.0,0.0,9.909801e-05,0.02262697,0.06198012
12,0.9,0.75,1.0,0.2881089707695251,-0.0793107611551,0.0,0.0,9.4196486e-07,0.021113018,0.059011094
13,0.85,0.75,1.0,0.09208283259607794,-0.0681664085692,0.0,0.0,3.0404113e-05,0.019442584,0.05632756
14,0.8,0.7,1.0,0.05323157001843828,-0.0661469549807,0.0,0.0,9.804814e-06,0.018677846,0.053752888
15,0.8,0.65,1.0,0.030408015624769046,-0.061924344831,0.0,0.0,0.0003263796,0.018724397,0.051469374
16,0.8,0.65,0.95,0.15587917161840958,30.0,0.0,0.0,449.19568,1.126192,0.049161583
17,0.75,0.6,0.95,0.30576005109792737,-0.141784937575,0.0,0.0,0.0039659324,0.024894632,0.060287993
18,0.8,0.6,0.95,0.3318302502599487,-0.127077641947,0.0,0.0,9.2099566e-05,0.017630436,0.050490595
19,0.8,0.6,0.9,0.323736020109403,-0.119373830878,0.0,0.0,0.0040379455,0.020571068,0.051529683
20,0.85,0.65,0.95,0.3325802127652647,-0.121231146892,0.0,0.0,0.0022581168,0.020991374,0.052383292
21,0.9,0.6,1.0,0.323234940523113,-0.119216132577,0.0,0.0,0.00028753374,0.019689005,0.053216606
22,0.9,0.6,1.0,0.32543533313473944,-0.106085848695,0.0,0.0,0.00036665943,0.020695068,0.054006677
23,0.95,0.6,0.95,0.27105121201725496,-0.10303128673,0.0,0.0,4.1261526e-05,0.019753495,0.054731816
24,0.9,0.6,1.0,0.2949944947871577,-0.0981922602763,0.0,0.0,0.0029802471,0.021703219,0.055394568
25,0.85,0.6,0.95,0.2806080502896883,-0.0901214090623,0.0,0.0,0.00013773466,0.021541942,0.055607297
26,0.85,0.65,0.95,0.2804010903930723,-0.0876586451096,0.0,0.0,5.9358455e-05,0.021497076,0.055796377
27,0.8,0.6,0.9,0.26226195851779854,-0.0897735746642,0.0,0.0,1.1555544e-05,0.021267802,0.055951506
28,0.75,0.6,0.85,0.3099707446477099,-0.0852448661169,0.0,0.0,9.5460295e-05,0.020953111,0.050965946
29,0.75,0.65,0.9,0.2754739937840399,-0.0850313502503,0.0,0.0,0.00080879545,0.021858525,0.05187047
30,0.8,0.7,0.85,0.22386922465089948,-0.0862997724456,0.0,0.0,0.0022009292,0.022167493,0.052646007
31,0.85,0.65,0.8,0.2721465467874943,-0.082155901364,0.0,0.0,5.4072436e-05,0.020791706,0.053316154
32,0.85,0.6,0.8,0.28640059264716194,-0.0807583883766,0.0,0.0,0.0011409564,0.022311307,0.0539306
33,0.9,0.6,0.85,0.2396396818197238,-0.0759964273034,0.0,0.0,3.3669883e-06,0.021481536,0.054482993
34,0.9,0.6,0.9,0.27956194186792654,-0.0728870711114,0.0,0.0,3.105894e-06,0.02172528,0.054988194
35,0.9,0.6,0.85,0.1089911291343188,-0.0700085918719,0.0,0.0,0.0019517345,0.022320874,0.055449057
36,0.95,0.55,0.8,0.06322593795982755,-0.0638680363342,0.0,0.0,0.0003452928,0.022152983,0.055827964
37,1.0,0.5,0.85,0.21392882827795112,30.0,0.0,0.0,450.78024,1.1333902,0.056161504
38,1.0,0.45,0.85,0.30817282386565914,-0.0837019440932,0.0,0.0,0.00022208541,0.025235593,0.06665015
39,1.0,0.5,0.9,0.2997462167989895,-0.0823811979428,0.0,0.0,0.00024831778,0.024842832,0.06577907
40,1.0,0.45,0.85,0.2920700173861212,-0.0816998412676,0.0,0.0,0.00018717638,0.023960687,0.06507355
41,1.0,0.45,0.85,0.25712200769164584,-0.0841304959167,0.0,0.0,1.628157e-05,0.023534989,0.06444676
42,0.95,0.5,0.9,0.28872979619318384,-0.0830899371492,0.0,0.0,0.0012116318,0.023891423,0.06388957
43,0.95,0.45,0.95,0.2971814146957759,-0.0935502721549,0.0,0.0,0.00048172494,0.023856085,0.0634112
44,0.9,0.4,0.9,0.3354375751233233,-0.0915611973695,0.0,0.0,9.995698e-05,0.024820201,0.060280167
45,0.85,0.4,0.95,0.3052682307931054,-0.0848141074827,0.0,0.0,0.0015423065,0.024396691,0.060038947
46,0.8,0.4,0.95,0.30513510207169436,-0.0836659214942,0.0,0.0,0.00019692483,0.024156917,0.059936687
47,0.8,0.35,1.0,0.28927027649667936,-0.0935689610036,0.0,0.0,0.00014009565,0.023713445,0.059887797
48,0.75,0.4,0.95,0.23422219990359064,-0.095968735771,0.0,0.0,0.00026081005,0.022479504,0.06526067
49,0.8,0.35,0.95,0.3243598943779745,-0.0964423425697,0.0,0.0,0.0013141728,0.020153204,0.047148306
50,0.75,0.4,0.9,0.320615966651153,-0.087672598143,0.0,0.0,0.00014824078,0.019057477,0.04679102
51,0.75,0.4,0.95,0.3373768758278824,-0.08716499164,0.0,0.0,2.5873049e-05,0.01817091,0.046462744
52,0.7,0.35,0.9,0.23780141635001953,-0.0849887753648,0.0,0.0,0.00019371648,0.01905773,0.04614839
53,0.75,0.4,0.95,0.2899478107703782,-0.0841851054947,0.0,0.0,0.0008026068,0.019122161,0.045860905
54,0.75,0.45,1.0,0.255752242687763,-0.0797075852024,0.0,0.0,0.0005357069,0.018847806,0.045622543
55,0.8,0.4,1.0,0.20026989128073813,-0.0748996700207,0.0,0.0,0.00037103303,0.018558843,0.045401976
56,0.75,0.35,1.0,0.1377526789651358,-0.0737817244797,0.0,0.0,7.111632e-05,0.018390667,0.04522598
57,0.75,0.4,1.0,0.0774845656991455,-0.0663839249856,0.0,0.0,0.00024648875,0.01773338,0.045070432
58,0.7,0.45,0.95,0.06454578663800775,-0.0614084726862,0.0,0.0,9.688719e-05,0.017779266,0.044920567
59,0.65,0.4,0.9,0.07917902840148927,-0.0580837705572,0.0,0.0,6.416343e-05,0.017749716,0.044782404
60,0.65,0.45,0.85,0.17884625487808822,30.0,0.0,0.0,449.3325,1.126892,0.04465739
