epi#,epi_reward,epi_steps
0,246.953039145,83
1,258.562687977,43
2,204.402052509,39
3,266.022027933,41
4,-58.2899541251,83
5,130.280172742,41
6,253.553002936,42
7,409.427381574,87
8,238.822589424,41
9,149.793297274,42
10,173.79776964,37
11,239.189522429,38
12,283.956420828,38
13,270.47404259632845,41
14,298.98,38
15,263.72,32
16,268.423980961,34
17,153.2854324607533,35
18,269.7208490942156,36
19,118.11774105,43
20,288.880501064,36
21,287.26188601426816,36
22,187.569709669,41
23,269.94,40
24,157.459257592153,39
25,270.54613307,35
26,299.18,40
27,237.578466221,37
28,218.37490733180084,38
29,284.405681811,39
30,293.57593491,36
31,290.087085361,35
32,171.870481444,39
33,274.45367320082926,36
34,303.490822987,39
35,223.246188554,37
36,267.326151697,34
37,219.059884225,40
38,205.363288708,32
39,259.89218566916713,33
40,280.707123349,35
41,185.607656035444,34
42,280.267422994,36
43,281.885470792,36
44,208.016394372,34
45,171.01926689,37
46,202.820160833,32
47,248.02,31
48,232.65235373456886,30
49,184.894331492,40
50,259.110924803,33
51,158.049689998,33
52,222.076086524,32
53,257.078362323,32
54,179.485623915,33
55,261.06,31
56,252.44,36
57,241.464012422,29
58,259.98,31
59,233.8939187148407,30
60,255.805127343,34
61,144.67352940442,28
62,249.344772097,32
63,210.117212683,27
64,255.44765711,29
65,233.750556502,36
66,200.255357694,34
67,141.890972049,36
68,189.412013626,30
69,255.004941647,31
70,246.332874692,29
71,204.042344001,30
72,253.44,31
73,234.56,26
74,94.2105847137,32
75,214.050187358,33
76,262.692504634,62
77,244.613966727,28
78,193.71218867,24
79,265.652159862,36
80,204.12,23
81,143.8217167487495,29
82,197.481298655,28
83,225.68,22
84,249.26,29
85,225.645537456,26
86,242.829407009,25
87,217.952531637,26
88,180.053535517,28
89,201.35405287015004,26
90,163.153391328,30
91,121.156093787,30
92,227.795029567,25
93,235.18,25
94,249.674472103,30
95,220.540559918,30
96,147.427613107,30
97,222.149075471,29
98,205.7,25
99,187.263829981,25
100,196.42,23
101,125.575730828,28
102,200.218124842,23
103,118.323486304,27
104,207.2,22
105,143.457419942,22
106,223.448922697,23
107,228.635817977,23
108,214.86,27
109,209.38093508,20
110,177.192396851,22
111,182.819087168,26
112,190.738064149,19
113,163.582613736,13
114,206.7,22
115,199.54,24
116,222.38,26
117,185.44,21
118,184.74,20
119,203.02482176,22
120,187.68,18
121,110.7076704852809,20
122,160.78795406413778,20
123,191.965939724,20
124,175.612025155,21
125,97.4468019836,24
126,167.512037498,24
127,207.34,21
128,201.36,25
129,167.64,16
130,188.08,19
131,195.1,20
132,194.46,20
133,185.68,20
134,182.390349897,20
135,81.54400716258091,22
136,186.4,18
137,200.06,20
138,179.42,22
139,185.03393156182162,21
140,186.46,17
141,225.86901633396673,44
142,109.305596045,18
143,189.69706617,18
144,348.038963931,50
