plan#,Ap,Bp,L,F,dp_obs,min_obs_dis,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1,1.0,1.0,1.0,0.138041826606,5.68148183823,0.927257299423,-11.823386488379661,0.0,0.0,61.904808,1.442141,4.2052794
2,1.0,1.0,1.0,0.142374422094,5.65021419525,1.23671841621,-11.005304679002416,0.0,0.0,76.54852,1.3902706,4.1604276
3,1.0,1.0,1.0,0.188591210125,5.36800050735,1.03768110275,-11.017759756534419,0.0,0.0,46.288467,1.3734968,4.0990734
4,1.0,0.95,0.95,0.216673812227,5.06206226349,0.969972133636,-10.641143891305461,0.0,0.0,33.74318,1.3429892,4.037056
5,1.05,1.0,0.9,0.364705882963,4.74914598465,0.887577176094,-10.581719023646507,0.0,0.0,42.279358,1.3263031,3.989338
6,1.0,1.0,0.9,0.519852190393,4.37091302872,0.974770545959,-10.187735044255337,0.0,0.0,64.28895,1.2954787,3.9416478
7,1.0,1.0,0.85,0.718692687087,4.06042814255,0.943022668362,-9.95765961942232,0.0,0.0,31.278313,1.2691915,3.881562
8,1.0,1.0,0.85,1.08357410925,3.68209671974,0.918586790562,-9.768843941885056,0.0,0.0,38.737244,1.2449305,3.8247247
9,1.0,1.0,0.85,1.59614373208,3.3475112915,0.964109480381,-9.43761425951292,0.0,0.0,54.313454,1.2150984,3.7705245
10,1.0,1.0,0.85,2.26538212555,3.04834794998,0.868113815784,-9.401500988710318,0.0,0.0,34.93289,1.1957004,3.7097173
11,1.0,1.0,0.8,7.34076460835,2.13404083252,0.897065639496,-9.212994276378023,0.0,0.0,24.291004,1.1706879,3.6530027
12,1.0,1.0,0.8,7.34076460835,2.13404083252,0.90428930521,-9.03130783503012,0.0,0.0,31.287481,1.1454017,3.5936475
13,1.0,1.0,0.8,10.0,1.84510707855,0.843739330769,-8.958027334467031,0.0,0.0,38.0749,1.0869911,3.5353398
14,1.0,1.0,0.8,10.0,1.60223829746,0.875114917755,-8.299862897650481,0.0,0.0,22.799774,1.4489365,4.8054934
15,1.0,0.95,0.85,10.0,1.36486399174,0.93065649271,-7.873466202689626,0.0,0.0,11.6750555,1.412366,4.726801
16,1.0,1.0,0.9,10.0,1.17014718056,0.949396967888,-7.619374893146224,0.0,0.0,14.107275,1.384892,4.6596603
17,1.0,1.0,0.9,10.0,1.02658450603,0.956834852695,-7.358186089693,0.0,0.0,16.219986,1.3580515,4.5966935
18,1.05,1.0,0.85,10.0,0.96974760294,0.963696658611,-7.13877767214241,0.0,0.0,13.626658,1.3329427,4.535876
19,1.1,0.95,0.9,10.0,1.00788235664,0.97329223156,-6.891859240792337,0.0,0.0,8.301135,1.3044944,4.468684
20,1.05,0.95,0.9,10.0,1.12632703781,1.06487953663,-6.467520322142079,0.0,0.0,24.452946,1.2700734,4.404146
21,1.1,1.0,0.85,10.0,1.37927651405,1.13380527496,-6.07784526088912,0.0,0.0,6.9181685,1.2345418,4.3273125
22,1.05,0.95,0.9,10.0,1.65454864502,1.48424100876,-5.274909260948285,0.0,0.0,1.250524,1.1835845,4.2513165
23,1.05,0.95,0.9,10.0,1.92105746269,1.73981273174,-4.537172983245435,0.0,0.0,0.8801562,1.13656,4.182228
24,1.0,0.95,0.9,10.0,2.23895049095,1.99857926369,-4.021421746036829,0.0,0.0,9.063473,1.0987195,4.117403
25,1.05,0.9,0.95,10.0,2.57066249847,2.35243272781,-2.82,0.0,0.0,0.010098667,1.0447205,4.0455017
26,1.0,0.9,1.0,7.2681490847,2.90129876137,2.72071433067,-2.56,0.0,0.0,0.17068487,1.0493783,3.979166
27,1.0,0.95,0.95,4.7506503339,3.23966431618,3.05952453613,-2.3,0.0,0.0,0.010546473,0.99100566,3.9195945
28,1.05,0.9,1.0,3.19198679305,3.59888100624,3.38257408142,-2.06,0.0,0.0,0.4595482,1.027905,3.8653195
